
========== Supervised Training Begin ==========

** Initial learning rate: 0.001000000 **

Time 0.35929, Epoch 3, Batch 12, Loss = 2.16588, Training Accuracy = 0.1300
Time 0.34367, Epoch 3, Batch 13, Loss = 2.13086, Training Accuracy = 0.1400
Time 0.35929, Epoch 3, Batch 14, Loss = 2.11918, Training Accuracy = 0.2300
Time 0.34367, Epoch 3, Batch 15, Loss = 2.14669, Training Accuracy = 0.1900
Time 0.34367, Epoch 3, Batch 16, Loss = 2.12068, Training Accuracy = 0.1900
Time 0.34367, Epoch 3, Batch 17, Loss = 2.06194, Training Accuracy = 0.2000
Time 0.34367, Epoch 3, Batch 18, Loss = 2.09817, Training Accuracy = 0.1900
Time 0.34367, Epoch 3, Batch 19, Loss = 2.08352, Training Accuracy = 0.1400
Time 0.34367, Epoch 3, Batch 20, Loss = 2.04884, Training Accuracy = 0.2200
Time 0.35929, Epoch 3, Batch 21, Loss = 2.04502, Training Accuracy = 0.1500
Time 0.35929, Epoch 3, Batch 22, Loss = 2.07164, Training Accuracy = 0.2300
Time 0.34367, Epoch 3, Batch 23, Loss = 2.04026, Training Accuracy = 0.3000
Time 0.34367, Epoch 3, Batch 24, Loss = 2.09307, Training Accuracy = 0.1900
Time 0.34367, Epoch 3, Batch 25, Loss = 2.05140, Training Accuracy = 0.1900
Time 0.34367, Epoch 3, Batch 26, Loss = 2.03638, Training Accuracy = 0.1700
Time 0.34367, Epoch 3, Batch 27, Loss = 2.09868, Training Accuracy = 0.1900
Time 0.34367, Epoch 3, Batch 28, Loss = 2.14807, Training Accuracy = 0.1600
Time 0.35929, Epoch 3, Batch 29, Loss = 2.15665, Training Accuracy = 0.1600
Time 0.34367, Epoch 3, Batch 30, Loss = 2.09768, Training Accuracy = 0.2100
Time 0.35929, Epoch 3, Batch 31, Loss = 2.12893, Training Accuracy = 0.1700
Time 0.34367, Epoch 3, Batch 32, Loss = 2.20091, Training Accuracy = 0.1700
Time 0.35929, Epoch 3, Batch 33, Loss = 2.15856, Training Accuracy = 0.1400
Time 0.34367, Epoch 3, Batch 34, Loss = 2.07803, Training Accuracy = 0.1800
Time 0.35929, Epoch 3, Batch 35, Loss = 2.10677, Training Accuracy = 0.1700
Time 0.34367, Epoch 3, Batch 36, Loss = 2.13093, Training Accuracy = 0.2400
Time 0.34367, Epoch 3, Batch 37, Loss = 2.06549, Training Accuracy = 0.1600
Time 0.34367, Epoch 3, Batch 38, Loss = 2.13313, Training Accuracy = 0.1800
Time 0.34367, Epoch 3, Batch 39, Loss = 2.08715, Training Accuracy = 0.2200

Time 14.10608, Epoch 3, Average Loss = 2.10434, Training Average Accuracy = 0.1817

Time 0.37491, Epoch 4, Batch 0, Loss = 2.09336, Training Accuracy = 0.1700
Time 0.34367, Epoch 4, Batch 1, Loss = 2.10007, Training Accuracy = 0.1600
Time 0.35929, Epoch 4, Batch 2, Loss = 2.01026, Training Accuracy = 0.1900
Time 0.34367, Epoch 4, Batch 3, Loss = 2.14374, Training Accuracy = 0.1800
Time 0.34367, Epoch 4, Batch 4, Loss = 2.08009, Training Accuracy = 0.2100
Time 0.34367, Epoch 4, Batch 5, Loss = 2.18366, Training Accuracy = 0.1600
Time 0.34367, Epoch 4, Batch 6, Loss = 2.10057, Training Accuracy = 0.2100
Time 0.35929, Epoch 4, Batch 7, Loss = 2.08282, Training Accuracy = 0.2100
Time 0.34367, Epoch 4, Batch 8, Loss = 2.08232, Training Accuracy = 0.2600
Time 0.35929, Epoch 4, Batch 9, Loss = 2.09380, Training Accuracy = 0.2100
Time 0.34367, Epoch 4, Batch 10, Loss = 2.12446, Training Accuracy = 0.1900
Time 0.35929, Epoch 4, Batch 11, Loss = 2.11261, Training Accuracy = 0.2900
Time 0.34367, Epoch 4, Batch 12, Loss = 1.98901, Training Accuracy = 0.2400
Time 0.34367, Epoch 4, Batch 13, Loss = 2.10533, Training Accuracy = 0.1500
Time 0.34367, Epoch 4, Batch 14, Loss = 2.03672, Training Accuracy = 0.1600
Time 0.34367, Epoch 4, Batch 15, Loss = 2.02712, Training Accuracy = 0.2000
Time 0.34367, Epoch 4, Batch 16, Loss = 2.19085, Training Accuracy = 0.1300
Time 0.34367, Epoch 4, Batch 17, Loss = 1.94696, Training Accuracy = 0.2600
Time 0.34367, Epoch 4, Batch 18, Loss = 1.98288, Training Accuracy = 0.2100
Time 0.34367, Epoch 4, Batch 19, Loss = 1.93172, Training Accuracy = 0.2000
Time 0.34367, Epoch 4, Batch 20, Loss = 1.96638, Training Accuracy = 0.2400
Time 0.35929, Epoch 4, Batch 21, Loss = 2.05401, Training Accuracy = 0.2300
Time 0.34367, Epoch 4, Batch 22, Loss = 2.06132, Training Accuracy = 0.2000
Time 0.34367, Epoch 4, Batch 23, Loss = 2.05634, Training Accuracy = 0.1500
Time 0.34367, Epoch 4, Batch 24, Loss = 2.00992, Training Accuracy = 0.2800
Time 0.34367, Epoch 4, Batch 25, Loss = 1.94600, Training Accuracy = 0.2500
Time 0.34367, Epoch 4, Batch 26, Loss = 1.96529, Training Accuracy = 0.2700
Time 0.34367, Epoch 4, Batch 27, Loss = 1.95463, Training Accuracy = 0.1900
Time 0.34367, Epoch 4, Batch 28, Loss = 1.94811, Training Accuracy = 0.2500
Time 0.34367, Epoch 4, Batch 29, Loss = 1.95908, Training Accuracy = 0.2400
Time 0.34367, Epoch 4, Batch 30, Loss = 1.90774, Training Accuracy = 0.2500
Time 0.34367, Epoch 4, Batch 31, Loss = 1.87542, Training Accuracy = 0.2900
Time 0.35929, Epoch 4, Batch 32, Loss = 1.92155, Training Accuracy = 0.2400
Time 0.34367, Epoch 4, Batch 33, Loss = 1.86117, Training Accuracy = 0.2000
Time 0.35929, Epoch 4, Batch 34, Loss = 1.97245, Training Accuracy = 0.1700
Time 0.34367, Epoch 4, Batch 35, Loss = 1.91685, Training Accuracy = 0.2100
Time 0.35929, Epoch 4, Batch 36, Loss = 2.09722, Training Accuracy = 0.1800
Time 0.34367, Epoch 4, Batch 37, Loss = 1.97283, Training Accuracy = 0.1800
Time 0.34367, Epoch 4, Batch 38, Loss = 2.04092, Training Accuracy = 0.2100
Time 0.34367, Epoch 4, Batch 39, Loss = 1.97673, Training Accuracy = 0.2200

Time 14.07483, Epoch 4, Average Loss = 2.02206, Training Average Accuracy = 0.2110

Time 0.37491, Epoch 5, Batch 0, Loss = 2.01137, Training Accuracy = 0.2400
Time 0.34367, Epoch 5, Batch 1, Loss = 2.07151, Training Accuracy = 0.1900
Time 0.35929, Epoch 5, Batch 2, Loss = 1.92526, Training Accuracy = 0.2800
Time 0.34367, Epoch 5, Batch 3, Loss = 2.06940, Training Accuracy = 0.1700
Time 0.34367, Epoch 5, Batch 4, Loss = 2.12383, Training Accuracy = 0.1400
Time 0.34367, Epoch 5, Batch 5, Loss = 1.94579, Training Accuracy = 0.2100
Time 0.34367, Epoch 5, Batch 6, Loss = 1.98108, Training Accuracy = 0.2300
Time 0.34367, Epoch 5, Batch 7, Loss = 1.98243, Training Accuracy = 0.2700
Time 0.34367, Epoch 5, Batch 8, Loss = 1.98013, Training Accuracy = 0.2300
Time 0.34367, Epoch 5, Batch 9, Loss = 1.95707, Training Accuracy = 0.2300
Time 0.34367, Epoch 5, Batch 10, Loss = 1.85698, Training Accuracy = 0.2500
